SKU_Patagonia,SKU_Megatone,Sale_Price
00292VEN7760LIL,VEN7760LIL,95999.0
00292VEN3200LIL,VEN3200LIL,195999.0
00292ACO0009FPH,ACO0009FPH,26999.0
00292KIT5223MOT,KIT5223MOT,494999.0
00292CAL1080LIL,CAL1080LIL,42999.0
00292COC0120MDA,COC0120MDA,169999.0
00292SAB0016CBA,SAB0016CBA,44999.0
00292FEE1351INE,FEE1351INE,729999.0
00292VEN1545AUV,VEN1545AUV,319999.0
00292CUB0013FPH,CUB0013FPH,69999.0
00292NOT1002HEW,NOT1002HEW,1799999.0
00292BIC7232SLP,BIC7232SLP,369999.0
00292JGO0090AIM,JGO0090AIM,227999.0
00292SIE0111HAM,SIE0111HAM,85999.0
00292COC7311PBD,COC7311PBD,799999.0
00292PAR2150PLO,PAR2150PLO,599999.0
00292AIR3401TCL,AIR3401TCL,729999.0
00292VEN0003VEN,VEN0003VEN,69999.0
00292PLA3153ORL,PLA3153ORL,469999.0
00292JGO0120AIM,JGO0120AIM,689999.0
00292AFE3007PHI,AFE3007PHI,47999.0
00292CAL0070LIL,CAL0070LIL,25999.0
00292MUL0705ORL,MUL0705ORL,134999.0
00292COC0128MDA,COC0128MDA,219999.0
00292SRP1050IDP,SRP1050IDP,115999.0
00292CAL0020PBD,CAL0020PBD,149999.0
00292KIT0150MOT,KIT0150MOT,199999.0
00292BIC1736NRD,BIC1736NRD,199999.0
00292TEL7582LGL,TEL7582LGL,2299999.0
00292SWA0068GRH,SWA0068GRH,13999.0
00292SET9027WOR,SET9027WOR,184999.0
00292KIT1766SSG,KIT1766SSG,699999.0
00292DEP2270PHI,DEP2270PHI,62999.0
00292ASP0000HAM,ASP0000HAM,234999.0
00292BOM0055HAM,BOM0055HAM,199999.0
